tract,subject,pos,FA
7.0,1.0,95.0,0.29071
7.0,1.0,96.0,0.25938
7.0,1.0,97.0,0.22951
7.0,1.0,98.0,0.21629
7.0,1.0,99.0,0.21292
7.0,1.0,100.0,0.18009
8.0,1.0,1.0,0.17219
8.0,1.0,2.0,0.22305
8.0,1.0,3.0,0.27988
8.0,1.0,4.0,0.33274
8.0,1.0,5.0,0.37784
8.0,1.0,6.0,0.40382
8.0,1.0,7.0,0.41927
8.0,1.0,8.0,0.42954
8.0,1.0,9.0,0.43314
8.0,1.0,10.0,0.42033
8.0,1.0,11.0,0.39021
8.0,1.0,12.0,0.35534
8.0,1.0,13.0,0.32869
8.0,1.0,14.0,0.33339
8.0,1.0,15.0,0.37706
8.0,1.0,16.0,0.44205
8.0,1.0,17.0,0.50546
8.0,1.0,18.0,0.56281
8.0,1.0,19.0,0.60893
8.0,1.0,20.0,0.6371
8.0,1.0,21.0,0.64431
8.0,1.0,22.0,0.63954
8.0,1.0,23.0,0.6326
8.0,1.0,24.0,0.61594
8.0,1.0,25.0,0.58733
8.0,1.0,26.0,0.56151
8.0,1.0,27.0,0.55023
8.0,1.0,28.0,0.52327
8.0,1.0,29.0,0.48317
8.0,1.0,30.0,0.45432
8.0,1.0,31.0,0.43775
8.0,1.0,32.0,0.43139
8.0,1.0,33.0,0.44849
8.0,1.0,34.0,0.45518
8.0,1.0,35.0,0.47201
8.0,1.0,36.0,0.51372
8.0,1.0,37.0,0.53876
8.0,1.0,38.0,0.53885
8.0,1.0,39.0,0.53606
8.0,1.0,40.0,0.5173
8.0,1.0,41.0,0.50834
8.0,1.0,42.0,0.51347
8.0,1.0,43.0,0.53074
8.0,1.0,44.0,0.53413
8.0,1.0,45.0,0.51874
8.0,1.0,46.0,0.53744
8.0,1.0,47.0,0.5399
8.0,1.0,48.0,0.53122
8.0,1.0,49.0,0.51219
8.0,1.0,50.0,0.48239
8.0,1.0,51.0,0.48878
8.0,1.0,52.0,0.48123
8.0,1.0,53.0,0.48061
8.0,1.0,54.0,0.47663
8.0,1.0,55.0,0.47254
8.0,1.0,56.0,0.47866
8.0,1.0,57.0,0.48726
8.0,1.0,58.0,0.47498
